ID	1-1	1-4	1-8	2-4	2-56	2-66	3-26	3-4	3-5	4-2	4-6	4-7	5-5	5-6	5-7	6-2	6-3	6-4	7-1	7-2	7-6	8-3	8-4	8-5
1-4_NODE_13	0.0	0.0006124451300697497	0.0	0.0008132151515813922	0.00027413983847535134	0.0006996064687536662	0.0	0.0007239881630510814	0.0009282002332691164	0.0	0.0007384211788236117	0.0	0.0	0.0	0.0	0.0	0.0	0.0005731843578814512	0.0006162277363743751	0.0	0.0	0.0	0.0	0.0
1-4_NODE_14	0.0	0.0009745328915813367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010962855095985047	0.0	0.0	0.0	0.0	0.0
1-4_NODE_16	0.0	0.002752445756847077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027565422322962663	0.0	0.0	0.0	0.0	0.0
1-4_NODE_19	0.0	0.00044026248468165285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006020427834708687	0.0	0.0	0.0	0.0	0.0
1-4_NODE_4	0.00045834695698565575	0.0008978304090855317	0.0	0.0	0.0004683158131689735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1-4_NODE_5	0.0	0.0005311295993630782	0.0	0.0	0.0003755396213513951	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006470188222813532	0.0	0.0	0.0	0.0	0.0
2-4_NODE_10	0.0	0.0	0.0	0.0005175907178237571	0.0	0.0	0.0006070810310643272	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0005015384498318065	0.0	0.0	0.0	0.0	0.0	0.0
2-4_NODE_13	0.0	0.0	0.0	0.0006241446905580482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0006250934067939529	0.0	0.0	0.0	0.0	0.0	0.0
2-4_NODE_19	0.0	0.00040814241449083083	0.0	0.0004510030160049805	0.0003832051781987866	0.0	0.004065544743821148	0.0008357003646857207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0004189542779133859	0.0007981859404465608	0.0	0.0	0.0	0.0	0.0
2-4_NODE_28	0.0	0.0	0.0	0.00045543524805569113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000543170082947797	0.0	0.0005336401090870746	0.0	0.0	0.0	0.0	0.0	0.0
2-4_NODE_9	0.0	0.0	0.0	0.00045145397407442284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
